benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,1,14,16,126.24217802658677,131.88227014616132,156.2341647222638,963.3479389700814
resnet_manual_script,sequential,1,15,16,133.67359060794115,136.21017906349152,157.46495127677917,932.7387571583691
resnet_manual_script,sequential,1,16,16,121.88795069232583,124.24094719812274,149.9842368066311,1022.5977505580356
resnet_manual_script,sequential,1,17,16,110.09168205782771,113.48395829088986,136.50104170665145,1119.528390138988
resnet_manual_script,sequential,1,18,16,109.65670505538583,114.04080959036946,130.35138975828886,1114.0618309213496
resnet_manual_script,sequential,1,1,32,2944.5327422581613,3047.6279615983367,3085.9746718779206,83.37534263294334
resnet_manual_script,sequential,1,2,32,1446.164123248309,1456.073005241342,1488.3059989660978,174.50843783336524
resnet_manual_script,sequential,1,3,32,1014.5662529394031,1066.26820883248,1098.1242819689214,238.30498125253666
resnet_manual_script,sequential,1,4,32,808.8833009824157,823.5238265618682,844.7548937983811,308.5484807122465
resnet_manual_script,sequential,1,5,32,606.5826490521431,612.821111031808,634.8634259775281,414.63490885321556
resnet_manual_script,sequential,1,6,32,552.2076520137489,556.9636264117435,574.7104519978166,456.21834796111995
resnet_manual_script,sequential,1,7,32,514.478721190244,525.355327539146,541.2537744268775,483.66698155748
resnet_manual_script,sequential,1,8,32,421.4787920936942,424.8272283934057,441.7141489684582,598.1185021424682
resnet_manual_script,sequential,1,9,32,392.72205578163266,408.8797796331346,433.4155349060893,621.4467874737835
resnet_manual_script,sequential,1,10,32,357.44742630049586,361.1126397177577,375.3699669614434,703.650322831679
resnet_manual_script,sequential,1,11,32,352.83662285655737,361.37934636324644,380.10483467951417,703.1310119770657
resnet_manual_script,sequential,1,12,32,309.42378798499703,325.2803685190156,345.3348041512072,781.1631137559589
resnet_manual_script,sequential,1,13,32,331.9217134267092,336.457238830626,356.64786119014025,755.2134303875492
resnet_manual_script,sequential,1,14,32,301.7368009313941,315.2501258207485,335.14224737882614,806.0172057170877
resnet_manual_script,sequential,1,15,32,290.57092079892755,302.95002981554717,327.18286802992225,838.7423684054708
resnet_manual_script,sequential,1,16,32,272.7040979079902,287.6875742012635,312.9214239306748,883.2394872162123
resnet_manual_script,sequential,1,17,32,255.38094202056527,267.50759308226407,303.66147216409445,949.8684601369799
resnet_manual_script,sequential,1,18,32,228.47494995221496,237.95478781219572,262.0371370576322,1067.837415049385
resnet_manual_script,sequential,1,1,64,6356.9632028229535,6362.715239855461,6399.330373853445,0.0
