benchmark,topology,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,interleave,1,2,64,19.050479644921495
resnet_manual_script,interleave,1,3,64,27.741005939511265
resnet_manual_script,interleave,1,4,64,36.27293535189638
resnet_manual_script,interleave,1,5,64,43.39191672504361
resnet_manual_script,interleave,1,6,64,49.365084277817
resnet_manual_script,interleave,1,7,64,54.67370842470467
resnet_manual_script,interleave,1,8,64,64.99274255990859
resnet_manual_script,interleave,1,9,64,68.06545583858538
resnet_manual_script,interleave,1,10,64,75.11893863961745
resnet_manual_script,interleave,1,11,64,81.71920160727308
resnet_manual_script,interleave,1,12,64,87.55189611518036
resnet_manual_script,interleave,1,13,64,93.60482874461178
resnet_manual_script,interleave,1,14,64,95.49205278121696
resnet_manual_script,interleave,1,15,64,98.529720433393
resnet_manual_script,interleave,1,16,64,103.73701098780853
resnet_manual_script,interleave,1,17,64,104.79060691936135
resnet_manual_script,interleave,1,18,64,105.7739998299633
resnet_manual_script,interleave,1,1,128,9.791430349933796
resnet_manual_script,interleave,1,2,128,18.294128700004855
resnet_manual_script,interleave,1,3,128,27.547866714918833
resnet_manual_script,interleave,1,4,128,34.64785961067467
resnet_manual_script,interleave,1,5,128,42.87726431473313
resnet_manual_script,interleave,1,6,128,48.460342862858695
resnet_manual_script,interleave,1,7,128,55.46456205005107
resnet_manual_script,interleave,1,8,128,61.581847118336505
resnet_manual_script,interleave,1,9,128,69.37075034255744
resnet_manual_script,interleave,1,10,128,75.08362020082178
resnet_manual_script,interleave,1,11,128,79.69534792608582
resnet_manual_script,interleave,1,12,128,86.24670271478388
resnet_manual_script,interleave,1,13,128,88.34824116525742
resnet_manual_script,interleave,1,14,128,89.08263577966045
resnet_manual_script,interleave,1,15,128,97.96585926774723
resnet_manual_script,interleave,1,16,128,102.50883381764984
resnet_manual_script,interleave,1,17,128,102.5987163117527
resnet_manual_script,interleave,1,18,128,107.92449572487257
resnet_manual_script,interleave,1,1,256,9.608221008615274
resnet_manual_script,interleave,1,2,256,18.111195440690715
resnet_manual_script,interleave,1,3,256,26.516069481940082
resnet_manual_script,interleave,1,4,256,34.17286640821704
resnet_manual_script,interleave,1,5,256,40.881002216713725
resnet_manual_script,interleave,1,6,256,46.893050530817234
resnet_manual_script,interleave,1,7,256,52.539247228229165
resnet_manual_script,interleave,1,8,256,61.09637345156713
resnet_manual_script,interleave,1,9,256,66.58706950175788
resnet_manual_script,interleave,1,10,256,71.28218611309374
resnet_manual_script,interleave,1,11,256,75.85416419726923
resnet_manual_script,interleave,1,12,256,80.12169225720392
resnet_manual_script,interleave,1,13,256,86.89294846815676
resnet_manual_script,interleave,1,14,256,89.62088474157369
resnet_manual_script,interleave,1,15,256,92.72673076300482
resnet_manual_script,interleave,1,16,256,95.8891901891473
resnet_manual_script,interleave,1,17,256,99.30717339797982
resnet_manual_script,interleave,1,18,256,102.83742314705601
resnet_manual_script,interleave,1,1,512,9.574742322272138
